huc8,ensemble_mean_et,eemetric_mean_et,ssebop_mean_et,disalexi_mean_et,ptjpl_mean_et,geesebal_mean_et
15060203,646.2600099616451,554.4306412414272,653.5884623839671,676.665166689674,693.3818917413238,647.569039646971
15020008,319.42208643520485,247.1218152608745,279.7881777209301,360.639423756872,464.5490413225755,310.6842407390021
15060202,662.8636367251142,691.9261778733447,598.7062154714545,658.4291414911733,688.9390480070334,699.9863395254057
15020015,460.124738673486,453.92155146558633,439.2622980707351,465.9730616351218,568.8476035245214,411.3227358087733
15020016,262.99153306572015,248.54868871493127,208.7837239332716,319.09822637880245,378.9892487711935,286.7444467240883
15020012,300.4762344344928,169.28057041887752,203.85923898189435,384.5097284098721,380.3346502068608,439.3249902820552
15020017,252.04621893914475,195.8926314604048,154.43279193789786,326.9977678059579,342.71192734673616,326.4010087725423
15020013,274.4814510301264,120.03407756047838,192.59336471216068,356.9041938730153,380.9676423794889,389.129094890273
15020014,234.1591488320903,115.74023742272551,143.1135910734743,331.28009191039047,354.08137139277034,294.5762252049381
15020010,497.1178508953696,468.4602889016357,477.6659824307543,497.1967369472421,601.8632766251995,438.18735350774085
15020018,261.1160059294682,223.441265925031,171.1408129641637,334.92408193240453,338.394009391196,341.79341934508795
15010001,368.828273700538,306.0193945613886,337.55077756387664,440.54138517665433,419.49741365600175,412.0174538120289
15020007,272.9527058642186,180.87055760162764,148.3400769612255,343.6234082400547,375.6216874247995,357.56830188912164
15030203,499.2133439034349,566.6560881340978,419.2512143627357,545.0422461000968,491.4826683878967,518.4211461532974
15070104,239.153066191068,236.3748147464257,185.39085148388543,263.58107859688613,275.9450836480762,351.4389358831108
15070103,396.7056884343379,381.5444710259444,342.2494669748908,446.10950830380017,409.60632726516695,482.38694296639886
15070102,474.7200357614863,463.1253138233668,420.3469663050107,501.3615385302552,483.8389472691308,575.7645447055492
15070201,190.09358166029645,175.19699399954513,138.0809278533769,207.0337721065073,222.64247078810988,381.4303850831682
15070101,283.3989158479983,259.21756531389093,225.34135171588397,305.25802897035,317.7008254330755,448.38879488381497
15070202,213.25350607673377,210.92330308803665,160.18847795210553,228.84667792682257,258.3335114317084,341.5937099540503
15070203,209.07854880127152,223.52498201169297,148.69962093252423,205.92230926409684,247.9446621185201,351.5223960225133
18100100,126.16236912961097,131.7918734623429,106.74287944926904,141.84686461187516,155.4436496464111,193.01298061688263
13010004,484.6155439967839,494.7725120381877,384.26803377858175,526.1067547782707,543.4380664520602,476.06634757697583
14020003,538.7115203186347,556.2027163883263,449.9114431481886,522.3449548469692,531.6382283049363,548.6390683374796
13010001,518.1695002963988,550.8468895238115,473.8140644713776,486.8627493661337,481.55256861533405,438.7192734569933
15040001,622.100357466185,699.6701880221407,615.7235025388716,650.5571892697772,643.382849705895,549.0794274863429
13030101,410.8805841745351,422.9145772192305,363.2209624425215,444.90812550590886,468.0000760309897,423.9985290974536
13020211,354.50842210697743,348.38914749004124,290.74815692924204,415.4670346952094,418.3418059798243,364.7483779407192
16060007,341.19250176280974,291.9012204586248,244.7888824793756,378.48444606327575,382.60701909839366,436.1600418700696
16060012,272.37299151306644,186.87077437831803,188.51194332070685,334.8794025852074,317.73920468150914,384.10585348953487
16060009,301.0304213906532,213.3110702878125,233.339216319588,377.2215158350304,351.60088484979616,361.61176859285496
15010012,229.84929989072225,170.30691128245203,169.50060536838595,288.18149894495787,259.9193625695866,358.27478828799167
16030001,500.2650993367112,451.5754199357556,425.7094244408436,534.8820264930803,521.2428990010349,545.640074913408
15010008,520.5397327183812,334.1634938126316,504.62731481853245,605.099585475588,528.9141592268878,603.663052407413
15080301,431.9315655463362,382.8083922449131,378.08722581996665,487.42757040951824,507.6766654699514,458.7200576829113
15050202,488.94521872856006,485.6736848880466,384.6142136867594,525.2223182930176,536.5785662530934,544.5306067782258
15050301,533.4218326434745,619.3654998130944,458.8972655155332,532.1934272454079,593.8250519321732,499.72536279873646
15080101,273.55613529680915,270.941330941916,223.37894363204447,302.5595955054867,353.58334121421217,304.05168470531675
15080103,235.1032098978095,301.8281356192968,174.01936858278538,226.86187676074837,246.8006210792396,368.1956915001607
15030108,235.89552328316176,265.199412052216,164.6746902307582,339.35264115462667,239.26473438382507,453.66834749408736
15080102,301.20637308160286,413.19214290946326,186.44881658382653,286.1909958621055,310.2898389363189,414.6674089038306
15080200,560.6986620011338,687.2618787274494,504.3537101812853,571.7365791511504,620.375194331977,464.9782818754482
15040006,339.4597723209388,250.83299556522596,274.6322902261901,403.7865175748824,431.7880160064173,406.75529409728574
15040002,446.20113370538814,452.49236994165744,363.63165639298194,540.9528193648565,515.5287018819815,415.5910710028363
15040003,275.14604171268223,250.0612318504972,205.70531134481465,347.778731501598,334.75021676445107,302.03786741384954
15040004,677.5783314327726,691.6639558318703,647.7107091575025,709.9092059665998,737.1011907584543,637.8619877014904
18100204,440.5321899822084,420.3829596957576,451.5246214223008,340.2484999965035,441.7792463454876,535.100945505489
15030102,159.49886836602445,206.99810275954908,117.38854985301823,177.14973648385435,239.88766117345173,150.6133160375346
13010002,512.3316958830001,522.0806010445082,421.6127038826575,558.9550239741055,536.112158299543,511.4195409325198
13010005,574.950981393062,590.6928468790005,513.7032583224369,535.3933177493069,567.6009551187891,548.6112858078816
13020102,628.3223916933545,611.334652174668,555.4545366075696,645.1357964565816,648.9646804058291,686.8803892331969
13030201,262.22549639532383,246.7643287939332,213.0609189083738,305.8575076168537,337.61791262431694,257.1009482086371
13030202,273.0913598756827,263.81736452716063,224.2124760896893,353.0850062323997,347.193775440299,249.985159207577
14040103,248.0233597011191,191.43786023727472,109.17468291511818,272.4528995165232,402.5468196096244,307.3338334239542
14040104,305.26250251103227,239.30755445105257,171.5296457403901,351.8674119548992,437.4490756775364,330.2048568654992
14040102,443.1973737277073,499.3941700998895,361.6788996751359,436.3034332966709,459.8842615190149,369.91499571842985
10180006,345.106485002798,338.13130154917064,236.7012666088946,408.8592811345924,427.08695521742726,321.0212301623534
14040200,276.7540238846435,234.535876632596,134.21784112600477,332.175428297109,380.0605631359014,337.2485199477684
14040105,287.7447543596834,214.42880797173584,178.44013393795817,314.4831766363781,380.1642974534845,372.41122092691177
10180003,412.4455229124168,452.5933561099727,303.0029514134443,422.47929804352674,439.0899823686341,388.0424441631922
15020003,346.40289850505656,306.046907719415,263.1718236837114,412.434922351645,480.9370931559282,345.9172963236064
14080106,221.52197141756943,154.9588918182843,140.7740060503201,260.26243604526974,374.7721814375311,261.1609903570442
15020004,408.7255024473999,311.4755184967022,305.8803255501723,493.5829577679809,508.5820664765859,459.9232033861236
15020006,478.29933806460497,452.1882341435366,375.93455381466526,506.0997800722233,555.5394403227037,521.3636950746358
15020002,266.4178154988152,147.95984251882845,185.94100824814328,327.5890885455009,428.23795051897264,306.26007774178686
15020001,407.7737271294103,340.52694859916545,377.6127297524028,418.3005623911507,561.6943794261215,401.275741936502
14080205,292.2419813690295,143.17061565445698,217.2978371862228,376.2790501105266,385.66543023737097,393.8382421579438
14070006,315.79679433504896,167.63049182529383,233.10147831778207,415.21945552356345,358.94653206276945,439.7211551451648
14070007,375.2606113005349,250.78900377248573,291.7367472384091,459.9620530281099,426.208376207532,466.39680009087687
14080107,495.8369419657518,363.9061551014851,391.045333300874,565.6778313252318,571.2712174796994,610.3804806001451
14080101,573.7268318242627,498.07377690141647,486.1992304454385,603.607163085249,613.6173786760269,653.1818095287844
14080104,605.3229742011232,579.6554518092295,551.352754358566,599.8734257701595,581.9968820775391,658.4342847187011
14030005,367.5356183109631,208.92594358928517,277.175942468004,459.63051402513497,477.0948271844297,446.057576181031
14030002,605.5775310627745,512.0470189658915,553.5821483713652,631.4552674858235,593.4867204029399,688.5064551941972
14080203,491.7526819700078,410.6227888107008,378.96557716837054,560.8734047618292,554.0245815840029,564.1872239556276
14030004,582.8689913370055,386.9497819763628,489.26164403960126,668.907571834039,634.6414043646731,688.4266096444421
14080202,510.2977600135528,385.96763024804574,406.9376630117874,583.012872839863,585.080754078751,596.4035722519009
14010005,578.8737731898647,457.8509296550322,513.0332260596159,628.5658612214677,611.8654674714056,610.1445578446143
14050007,427.75237433998126,321.7249179305522,326.01280846062923,470.2946049564432,513.6076020898306,500.4662471984264
14060010,425.8976572250696,323.465872927926,337.31353262215305,462.1171989048076,493.3769846024941,498.0451049818247
14030001,374.84959673732266,196.61925811116276,281.3342709855468,451.0448096233196,507.4572769393671,448.6722790167303
10180002,456.7566741520087,530.2494959961764,380.2337302778697,434.22985818162834,454.3977624503965,381.3956088539934
14050003,402.2355232444178,355.0359157874188,308.3870488977685,420.9776647367532,468.7355925163979,436.1851403000921
14040109,286.71864723739697,228.12726331198107,184.3758321211984,309.9893224111455,386.3393244376515,337.4503614137966
14040107,328.9877930060085,323.9310797049222,236.11737952882828,334.7664616431777,433.9388202455095,328.68502022483915
14040108,375.1114875427125,361.7082568724875,274.3992473654546,375.074009644072,452.2988794809165,394.3557275648955
16010101,462.9208139067933,457.3816342366274,399.4692305358713,462.137567049756,515.8420991169867,458.6046765456931
16020101,604.8762018443308,504.0993479615223,603.2766273759432,573.8461711997503,623.7991385695918,619.638519213848
10080001,393.2538916963573,414.1450374298236,340.7823801099626,386.56585326458907,422.0442327259926,357.0614156756663
14040101,436.6912562978491,453.64902164354095,344.871311319099,415.4011249449112,512.084557465662,414.7920635822116
17040102,531.8754594404464,560.7500739124968,510.2370569143252,453.9866454157189,540.4098473192403,508.6406080890679
17040103,592.9095098552282,594.788573189868,582.9357083195174,517.4422470078521,593.6065508263097,583.4324178995985
10190002,626.7578239514391,617.4997735327485,607.1194223596899,704.6977369446753,604.1323819296871,597.8682690371392
10190001,475.3511597589491,563.5359636185731,395.26181133212657,526.1751433428133,488.1585867413184,392.71632426411526
16060008,339.5468461351654,287.7585028351197,253.58976730979103,399.2353225206088,384.3037370722746,403.1212402771565
15010011,295.9268022943787,201.07797330164536,204.1922620475308,373.9990855637661,340.81785081690003,397.60571408572775
15010015,281.5056120110967,290.1577950594424,159.37099425041896,333.1636991264237,268.9980451686289,449.0250886247956
16060014,238.96925847082403,181.4709263824104,158.80199006599662,313.0231922410266,279.296171422448,334.1182514552788
16060015,247.59418150411767,253.36603060287865,170.8870733399195,266.7142784810188,271.03974137781177,377.2560535141645
15080302,449.9406621841354,384.2252208281437,387.0023555416166,492.7827767777308,513.5152517401689,505.3696612425919
15010010,290.9805124618623,184.565288580257,288.6169665876605,363.9717542259706,339.1001739502845,326.19903332169406
15010005,400.8828036305752,375.1139104934702,330.23549948444963,449.0043372710693,390.2805795954869,487.66556936991367
15030101,267.2020372140895,277.2598333830024,222.4718129848557,290.7523340777503,273.88685406486206,355.63935514121226
15010006,345.13754498493057,310.6089246266196,291.4654878430573,412.9073840464184,364.113064991238,378.5870793612479
15010009,304.2940151722364,316.4395186073502,210.25846997639096,376.285796930786,339.7413279027304,354.7739929599134
15010003,447.8620761950716,391.8349698945058,366.9472357512754,517.935654349022,475.48428193650847,509.3250794950286
15030104,267.0935690212325,286.4278460595555,202.119963531494,272.60566407955395,270.88413777376906,487.8979298162062
15030107,441.0828839462733,506.09466267265736,336.3920974112326,392.7314498300328,366.1775331386587,809.0256241093849
15050304,379.78168751054415,400.7134934097748,322.4119447373205,389.2469262878373,480.5748389710109,371.2809786648537
15050306,259.1102733928881,260.87189722550494,189.34885407948389,265.72877695027364,327.6287696180553,369.17949094050977
15050305,243.22285157100947,198.3379789650772,213.95543881531967,248.7594588135435,353.7927617466879,298.5017113378478
15050303,353.8095331122724,353.6020484842043,299.6118494683189,361.42067063150944,416.4951766991501,415.9707492800862
15050100,425.8847901319412,433.2528056225448,340.3969845555165,436.9926425851215,471.1350521168492,506.3167335272665
15050203,550.530324934426,579.4764157979877,469.8843410494516,572.6690542446225,620.0731754012218,544.2942316121719
15050302,593.872007304772,628.1996402035983,428.4081381351564,655.6473908588684,610.1631113950261,685.462413351925
15050201,457.5574396500905,435.5180275195409,408.49738649321097,510.5255391918959,532.2096461848818,456.68718138311226
15040005,542.8078652981285,522.4526428828466,450.09637479774767,589.9343899821947,618.4769147553608,584.6176743338283
15010014,226.15135557956316,207.6914409036825,141.85243887624125,267.0211522050403,280.57048600612774,295.7528090087597
15010002,476.52626059671735,473.4254863685416,393.2561222574958,590.87282170412,467.3756755850066,517.741110345388
15010007,305.82525184306746,348.639614692439,239.88175631604,361.8074240768184,356.7593635256962,300.1358162822261
15010004,367.9642424735377,354.80352413294725,294.83759109869555,438.51892680798886,457.28467332828393,373.1624669061277
15060201,484.9242577056266,575.6923525069661,379.7916583582647,508.2394603400265,534.3754451929163,486.7349906131061
15030201,430.0811684028866,589.5558511897467,328.7318049493857,435.5848522653898,443.5351797037229,456.4756383770016
15030103,267.7007446155342,323.25033732079714,210.90763079759932,271.3601522477126,315.0116838928336,316.0435974646901
15030106,149.34611701175766,136.52013944040414,107.4511380431544,138.42046367067164,188.6474840615726,422.4607665808748
15030105,169.89982465025182,178.75027385133865,128.7222856971928,176.72788504696794,200.5148391792003,311.0574613297256
15030204,234.537685664768,270.6818554922076,173.96636756938756,241.1583176268821,254.5001281204749,384.2201689314709
15030202,536.4468842280993,682.6345277270827,457.69328185884126,537.2440582677864,537.6413377658811,548.8741184872406
